핵심지표,세부지표,세부항목,질문,유형
교직원,보육교직원의 근무환경,교사를 위한 개인사물함과 업무지원 설비를 마련하고 있다.,어린이집 내에 교사가 개인별로 사용할 수 있는 사물함을 마련하고 있음,객관식
교직원,보육교직원의 근무환경,교사를 위한 개인사물함과 업무지원 설비를 마련하고 있다.,"교사가 개별 또는 공동으로 사용할 수 있는 업무용 책상, 의자, 기타 업무지원 설비(컴퓨터, 프린터 등)를 마련하고 있음",객관식
교직원,보육교직원의 근무환경,성인용 화장실을 영유아용과 별도로 설치하여 사용하고 있다.,"보육교직원, 부모 및 방문객이 사용할 수 있는 성인용 화장실을 어린이집 내에 마련하고 있음",객관식
교직원,보육교직원의 처우와 복지,"보육교직원의 복무와 보수에 관한 규정이 있으며, 이를 준수하고 있다.","모든 보육교직원과 근로계약을 체결하고 있으며, 근로계약서에는 보수, 근로 및 휴게시간, 휴일, 연차(유급휴가) 등이 명시되어 있음",객관식
교직원,보육교직원의 처우와 복지,"보육교직원의 복무와 보수에 관한 규정이 있으며, 이를 준수하고 있다.",취업규칙(복무규정)이 문서화되어 접근 가능한 공간에 게시되어 있거나 근로계약서에 포함되어 있음,객관식
교직원,보육교직원의 처우와 복지,"보육교직원의 복무와 보수에 관한 규정이 있으며, 이를 준수하고 있다.",보수 관련 규정에 준하여 보육교직원의 보수가 지급되고 있음,객관식
교직원,보육교직원의 처우와 복지,교사의 직무스트레스를 예방하고 관리할 수 있는 서비스를 안내 및 제공한다.,교사의 직무스트레스를 완화하고 신체 및 정신건강을 유지할 수 있는 기회를 제공함,객관식
교직원,보육교직원의 처우와 복지,교사의 직무스트레스를 예방하고 관리할 수 있는 서비스를 안내 및 제공한다.,교사의 직무스트레스를 효과적으로 해결하기 위해 유관기관에서 제공하는 서비스를 안내함,객관식
교직원,보육교직원의 처우와 복지,보육교직원을 위한 복지제도를 운영하고 있다.,보육교직원을 위한 복지 혜택이 마련되어 있음,객관식
교직원,보육교직원의 처우와 복지,보육교직원을 위한 복지제도를 운영하고 있다.,복지 혜택이 모든 보육교직원에게 골고루 제공됨,객관식
교직원,보육교직원의 전문성제고,보육교직원의 전문성 제고를 위한 다양한 교육 기회를 부여하고 있다.,보육교직원의 경력과 요구를 고려한 연간 교육 계획을 수립하여 실행하고 있음,객관식
교직원,보육교직원의 전문성제고,보육교직원의 전문성 제고를 위한 다양한 교육 기회를 부여하고 있다.,모든 보육교직원에게 역량 계발을 위한 교육 기회를 제공하고 있음,객관식
교직원,보육교직원의 전문성제고,교사의 상호작용에 대한 관찰과 지원을 실시하고 있다.,교사의 상호작용에 대한 관찰과 지원이 교사별로 연 1회 이상 이루어짐,객관식
교직원,보육교직원의 전문성제고,교사에 대한 근무평가를 실시하고 있다.,교사에 대한 근무평가가 교사별로 연 1회 이상 이루어짐,객관식
